Model,Architecture_Type,R2_Score,Training_Time_Min,Parameters,Vanishing_Gradient_Score,Training_Stability,Has_Skip_Connections,Depth
Baseline_Shallow,Baseline,0.9854254480451345,2.83268762032191,2025793,0.0,468351.4912506513,False,4
Baseline_Deep,Baseline,0.9950717985630035,5.15705615679423,2551585,0.0,538010.0613750585,False,12
ResNet_Shallow,ResNet,0.8995931446552277,1.7760128815968832,1263489,0.0,497740.9503013322,True,4
ResNet_Deep,ResNet,0.9782425556331873,1.553099012374878,2997153,0.0,1029815.3666014969,True,12
UNet_channel_reduced_32filters,UNet,0.669853001832962,14.489378217856089,883297,0.0,373725.56718958454,True,4
UNet_channel_reduced_36filters,UNet,-0.3898085355758667,5.424228099981944,1046917,0.0,225112.13782670582,True,4
UNet_full_concat_32filters,UNet,0.8418177515268326,14.901507385571797,820513,0.0,407323.66813133366,True,4
UNet_full_concat_36filters,UNet,-0.3826528787612915,9.95647697051366,1119277,0.0,231382.86887379945,True,4
UNet_channel_reduced_40filters,UNet,0.9406911209225655,18.088576626777648,1300265,0.0,328985.1605466888,True,4
DenseNet_Style,DenseNet,0.9104373902082443,1.6581062157948812,177889,0.0,435694.3877574791,True,4
