Model,Architecture_Type,R2_Score,Training_Time_Min,Parameters,Vanishing_Gradient_Score,Training_Stability,Has_Skip_Connections,Depth
Baseline_Shallow,Baseline,0.9947488396428525,8.646798666318258,2025793,0.0,131038.36395076234,False,4
Baseline_Deep,Baseline,0.9945762827992439,14.80273996591568,2551585,0.0,258191.68553588423,False,12
ResNet_Shallow,ResNet,0.9952952112071216,3.6019370992978414,1263489,0.0,165884.3666100897,True,4
ResNet_Deep,ResNet,0.989840492606163,2.775533429781596,2997153,0.0,208060.73869783003,True,12
UNet_channel_reduced_32filters,UNet,0.9921421390026808,33.0782084663709,883297,0.0,165330.07093203874,True,4
UNet_channel_reduced_36filters,UNet,0.9868823606520891,36.815761824448906,1046917,0.0,172175.99740773012,True,4
UNet_full_concat_32filters,UNet,0.992230492644012,37.835883764425915,820513,0.0,161956.59706352375,True,4
UNet_full_concat_36filters,UNet,0.9914635196328163,43.33946386575699,1119277,0.0,150746.36477653167,True,4
UNet_channel_reduced_40filters,UNet,0.9901903131976724,36.582011326154074,1300265,0.0,175679.30720545497,True,4
DenseNet_Style,DenseNet,0.9946998725645244,3.2835660020510358,177889,0.0,166657.42457685038,True,4
